Reg-Nr.,Name,Bestand,Beschwerden,Typ,Jahr
4034,ALLIANZ PRIV.KV AG,2416819,208,Kranken,2008
4142,ALTE OLDENBURGER,129843,10,Kranken,2008
4112,ARAG KRANKEN,320190,25,Kranken,2008
4095,AXA KRANKEN,520189,130,Kranken,2008
4042,BARMENIA KRANKEN,1124123,59,Kranken,2008
4134,BAYERISCHE BEAMTEN K,919622,60,Kranken,2008
4127,BBV KRANKEN,15322,1,Kranken,2008
4004,CENTRAL KRANKEN,1641992,94,Kranken,2008
4118,CONCORDIA KRANKEN,79881,3,Kranken,2008
4001,CONTINENTALE KRANKEN,1206641,59,Kranken,2008
4101,DBV-WINTERTHUR KRANK.,873851,53,Kranken,2008
4028,DEBEKA KRANKEN,3401574,94,Kranken,2008
4131,DEVK KRANKENVERS.-AG,168368,2,Kranken,2008
4044,DKV AG,3207707,237,Kranken,2008
4013,DT. RING KRANKEN,611691,25,Kranken,2008
4115,DÜSSELDORFER VERS.KR.,9873,5,Kranken,2008
4089,EUROPA KRANKEN,210633,13,Kranken,2008
4119,GOTHAER KV AG,491030,39,Kranken,2008
4043,HALLESCHE KRANKEN,550363,43,Kranken,2008
4144,HANSEMERKUR KRANKEN,1027007,38,Kranken,2008
4122,HANSEMERKUR S.KRANKEN,2848913,7,Kranken,2008
4117,HUK-COBURG KRANKEN,769194,47,Kranken,2008
4031,INTER KRANKEN,388557,32,Kranken,2008
4126,KARSTADTQUELLE KV AG,1041043,24,Kranken,2008
4011,LANDESKRANKENHILFE,419296,32,Kranken,2008
4051,LIGA KRANKEN,4171,1,Kranken,2008
4109,LVM KRANKEN,264124,5,Kranken,2008
4123,MANNHEIMER KRANKEN,78594,8,Kranken,2008
4037,MÜNCHEN.VEREIN KV,223315,19,Kranken,2008
4125,NÜRNBG. KRANKEN,213386,4,Kranken,2008
4143,PAX-FAMILIENF.KV AG,147146,3,Kranken,2008
4135,PROVINZIAL KRANKEN,124038,2,Kranken,2008
4116,R+V KRANKEN,408000,2,Kranken,2008
4002,SIGNAL KRANKEN,1984238,99,Kranken,2008
4039,SÜDDEUTSCHE KRANKEN,515662,23,Kranken,2008
4108,UNION KRANKENVERS.,970296,20,Kranken,2008
4045,UNIVERSA KRANKEN,356868,25,Kranken,2008
4105,VICTORIA KRANKEN,1187487,28,Kranken,2008
4139,WÜRTT. KRANKEN,118755,3,Kranken,2008
1001,AACHENMüNCHENER LEB.,5444373,176,Leben,2008
1006,ALLIANZ LEBEN,10338178,374,Leben,2008
1007,ALTE LEIPZIGER LEBEN,998353,57,Leben,2008
1035,ARAG LEBEN,361012,15,Leben,2008
1181,ASPECTA LEBEN,729179,157,Leben,2008
1303,ASSTEL LEBEN,368137,43,Leben,2008
1020,AXA LEBEN,2016708,130,Leben,2008
1011,BARMENIA LEBEN,246780,19,Leben,2008
1012,BASLER LEBEN,180256,12,Leben,2008
1013,BAYER. BEAMTEN LEBEN,375201,22,Leben,2008
1015,BAYERN-VERS.,1687650,54,Leben,2008
1132,CIV LEBEN,1905152,54,Leben,2008
1122,CONCORDIA LEBEN,148423,8,Leben,2008
1021,CONDOR LEBEN,210695,9,Leben,2008
1078,CONTINENTALE LEBEN,649153,28,Leben,2008
1022,COSMOS LEBEN,1345227,51,Leben,2008
1146,DBV-WINTERTHUR LEBEN,2245976,100,Leben,2008
1023,DEBEKA LEBEN,3220679,27,Leben,2008
1017,DELTA LLOYD LEBEN,630088,46,Leben,2008
